# Local branches/worktrees compact index
Generated: 2026-07-22T23:08:54+04:00
Repo: /home/sjors/dev/astro-plan
Branches total: 515 | Attached: 12 | Orphaned: 503
Detached worktree snapshots: 3
Worktrees total: 15 | Attached: 12 | Detached: 3

## 1) Branches
idx | state | branch | upstream | status | file_count | sample_changed_paths
220 | orphaned | fix/1048-biome-format | origin/fix/1048-biome-format | [ahead 1, behind 45] | 180 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
221 | orphaned | fix/1048-lint-and-baseline | origin/fix/1048-lint-and-baseline | (none) | 0 | (none)
222 | orphaned | fix/1056-validate-path-is-dir | origin/fix/1056-validate-path-is-dir | (none) | 0 | (none)
223 | orphaned | fix/1067-detailpanel-migrations | origin/fix/1067-detailpanel-migrations | [gone] | n/a | [upstream missing]
224 | orphaned | fix/1069-spec054-artifacts | origin/fix/1069-spec054-artifacts | [gone] | n/a | [upstream missing]
225 | orphaned | fix/1083-calibration-vacuous-gate | origin/fix/1083-calibration-vacuous-gate | (none) | 0 | (none)
226 | orphaned | fix/1090-549-inbox-counts | origin/fix/1090-549-inbox-counts | [behind 5] | 4 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
227 | orphaned | fix/1101-classify-write-errors | origin/fix/1101-classify-write-errors | [behind 5] | 4 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
228 | orphaned | fix/1114-needs-review-banner | origin/fix/1114-needs-review-banner | [ahead 2, behind 3] | 5 | apps/desktop/src/components/TwoColDetailLayout.test.tsx, apps/desktop/src/components/TwoColDetailLayout.tsx, apps/desktop/src/features/inbox/InboxDetail.tsx
229 | orphaned | fix/1120-calibration-audit | origin/fix/1120-calibration-audit | [behind 5] | 4 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
230 | orphaned | fix/1129-emit-snapshot-cache-race | origin/fix/1129-emit-snapshot-cache-race | (none) | 0 | (none)
231 | orphaned | fix/1132-r17-target-resolution | origin/fix/1132-r17-target-resolution | [behind 5] | 4 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
232 | orphaned | fix/1165-clippy-devtools-ci | origin/main | [ahead 1006, behind 77] | 509 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .agents/skills/speckit-analyze/SKILL.md
233 | orphaned | fix/1203-ci-main-concurrency | origin/fix/1203-ci-main-concurrency | (none) | 0 | (none)
234 | orphaned | fix/1204-1205-e2e-harness-diagnostics | origin/fix/1204-1205-e2e-harness-diagnostics | (none) | 0 | (none)
235 | orphaned | fix/1204-webview-data-dir | origin/fix/1204-webview-data-dir | (none) | 0 | (none)
236 | orphaned | fix/1207-spec058-justification | origin/main | [ahead 990, behind 77] | 647 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .agents/skills/speckit-analyze/SKILL.md
237 | orphaned | fix/1208-1203-l3-shards-on-main | origin/fix/1208-1203-l3-shards-on-main | [behind 41] | 166 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
238 | orphaned | fix/1209-logpanel-followscroll-race | origin/main | [ahead 971, behind 77] | 669 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .agents/skills/speckit-analyze/SKILL.md
239 | orphaned | fix/1218-source-snapshots | origin/fix/1218-source-snapshots | (none) | 0 | (none)
240 | orphaned | fix/1219-libr-tests-db-guard | origin/fix/1219-libr-tests-db-guard | (none) | 0 | (none)
241 | orphaned | fix/1221-mock-types | origin/fix/1221-mock-types | [behind 5] | 4 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
242 | orphaned | fix/1230-1231-migration-perf | origin/fix/1230-1231-migration-perf | [behind 33] | 157 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
243 | orphaned | fix/1232-1233-fs-failure-tests | origin/fix/1232-1233-fs-failure-tests | [behind 5] | 4 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
244 | orphaned | fix/1234-channel-claim | origin/fix/1234-channel-claim | [behind 3] | 3 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
245 | orphaned | fix/1236-reverify-journey-findings | origin/main | [ahead 990, behind 77] | 646 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .agents/skills/speckit-analyze/SKILL.md
246 | orphaned | fix/1272-testid-wait-context | origin/fix/1272-testid-wait-context | [ahead 1, behind 22] | 197 | .claude/agents/journey-scribe.md, .claude/agents/journey-validator.md, .claude/agents/workflow-reviewer.md
247 | orphaned | fix/1294-cone-search-target-join | origin/fix/1294-cone-search-target-join | (none) | 0 | (none)
248 | orphaned | fix/1307-plans-cascade-delete | origin/fix/1307-plans-cascade-delete | (none) | 0 | (none)
249 | orphaned | fix/1418-windows-dock-followup | origin/fix/1418-windows-dock-followup | [ahead 3, behind 4] | 2 | crates/app/core/tests/plan_apply_audit_integration.rs, crates/app/inbox/src/plan_listener.rs
250 | orphaned | fix/307-1256-session-targets | origin/fix/307-1256-session-targets | [behind 21] | 197 | .claude/agents/journey-scribe.md, .claude/agents/journey-validator.md, .claude/agents/workflow-reviewer.md
251 | orphaned | fix/45xl-theme-token-cascade | origin/fix/45xl-theme-token-cascade | (none) | 0 | (none)
252 | orphaned | fix/5ri-tooltip-focus-indicators | origin/fix/5ri-tooltip-focus-indicators | [behind 32] | 153 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
253 | orphaned | fix/606-plan-overlays | origin/fix/606-plan-overlays | [behind 5] | 4 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
254 | orphaned | fix/622-739-tables | origin/fix/622-739-tables | [behind 5] | 4 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
255 | orphaned | fix/631-1182-polish | origin/fix/631-1182-polish | (none) | 0 | (none)
256 | orphaned | fix/640-660-dialog-chrome | origin/fix/640-660-dialog-chrome | (none) | 0 | (none)
257 | orphaned | fix/641-cleanup-scope-keys | origin/fix/641-cleanup-scope-keys | [behind 5] | 4 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
258 | orphaned | fix/642-669-812-empty-actions | origin/fix/642-669-812-empty-actions | [behind 5] | 4 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
259 | orphaned | fix/711-unsplit-badge | origin/fix/711-unsplit-badge | (none) | 0 | (none)
260 | orphaned | fix/734-logpanel | origin/fix/734-logpanel | [behind 5] | 4 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
261 | orphaned | fix/735-738-navigation | origin/fix/735-738-navigation | [behind 5] | 4 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
262 | orphaned | fix/747-754-801-inbox | origin/fix/747-754-801-inbox | [behind 5] | 4 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
263 | orphaned | fix/752-wizard-scan | origin/fix/752-wizard-scan | (none) | 0 | (none)
264 | orphaned | fix/802-804-settings | origin/fix/802-804-settings | [behind 23] | 105 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
265 | orphaned | fix/809-shared-entity-names | origin/fix/809-shared-entity-names | (none) | 0 | (none)
266 | orphaned | fix/813-inbox-twocol | origin/fix/813-inbox-twocol | (none) | 0 | (none)
267 | orphaned | fix/813-twocol-migration | origin/fix/813-twocol-migration | (none) | 0 | (none)
268 | orphaned | fix/833-project-history | origin/fix/833-project-history | (none) | 0 | (none)
269 | orphaned | fix/854-reclassify-confirm-gate | origin/fix/854-reclassify-confirm-gate | (none) | 0 | (none)
270 | orphaned | fix/astro-plan-mxhz-honest-empty | origin/fix/astro-plan-mxhz-honest-empty | (none) | 0 | (none)
271 | orphaned | fix/async-effect-unmount-guards | origin/fix/async-effect-unmount-guards | [behind 3] | 3 | .config/nextest.toml, .github/workflows/ci.yml, .github/workflows/e2e.yml
272 | orphaned | fix/bc4e-dead-caller-reexports | origin/fix/bc4e-dead-caller-reexports | (none) | 0 | (none)
273 | orphaned | fix/branch-protection-name-verify | origin/fix/branch-protection-name-verify | [behind 26] | 100 | .design-sync/conventions.md, .github/workflows/e2e.yml, Cargo.lock
274 | orphaned | fix/calibration-matching-hydration-race | origin/fix/calibration-matching-hydration-race | (none) | 0 | (none)
275 | orphaned | fix/check-tokens-macos-grep | origin/fix/check-tokens-macos-grep | [behind 16] | 66 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
276 | attached | fix/ci-required-checks-skip-shim | origin/fix/ci-required-checks-skip-shim | (none) | 0 | (none)
277 | attached | fix/close-guard-content-fallback | origin/fix/close-guard-content-fallback | [behind 2] | 2 | docs/development/bd-close-guard.md, scripts/bd-close-guard.sh
278 | orphaned | fix/confirm-staleness-guard | origin/fix/confirm-staleness-guard | (none) | 0 | (none)
279 | orphaned | fix/datq-source-missing-autoblock | origin/fix/datq-source-missing-autoblock | (none) | 0 | (none)
280 | orphaned | fix/dead-caller-ratchet | origin/fix/dead-caller-ratchet | (none) | 0 | (none)
281 | orphaned | fix/e2e-settle-and-error-propagation | origin/fix/e2e-settle-and-error-propagation | (none) | 0 | (none)
282 | orphaned | fix/evl-biome-key-and-lint-surfaces | origin/fix/evl-biome-key-and-lint-surfaces | [behind 32] | 153 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
283 | orphaned | fix/framing-mount-race | origin/fix/framing-mount-race | (none) | 0 | (none)
284 | orphaned | fix/geometry-session-grouping | origin/fix/geometry-session-grouping | (none) | 0 | (none)
285 | orphaned | fix/guided-event-emission | origin/fix/guided-event-emission | (none) | 0 | (none)
286 | orphaned | fix/i18n-locale-parity-gate | origin/fix/i18n-locale-parity-gate | (none) | 0 | (none)
287 | orphaned | fix/inbox-classify-swallowed-writes | origin/fix/inbox-classify-swallowed-writes | (none) | 0 | (none)
288 | orphaned | fix/inbox-confirm-review-plans-split-folders | origin/fix/inbox-confirm-review-plans-split-folders | (none) | 0 | (none)
289 | orphaned | fix/inbox-helpers-unused-import | origin/fix/inbox-helpers-unused-import | (none) | 0 | (none)
290 | orphaned | fix/inter-ofl-licence-attribution | origin/fix/inter-ofl-licence-attribution | [behind 31] | 153 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
291 | orphaned | fix/jc0714-nJ01c | origin/fix/jc0714-nJ01c | (none) | 0 | (none)
292 | orphaned | fix/jc0714-nJ04c | origin/fix/jc0714-nJ04c | (none) | 0 | (none)
293 | orphaned | fix/jc0714-nNIT-scan | origin/fix/jc0714-nNIT-scan | [behind 13] | 92 | .github/workflows/ci.yml, .github/workflows/cla-assistant.yml, .github/workflows/e2e.yml
294 | orphaned | fix/jc0714-nNIT-ui | origin/fix/jc0714-nNIT-ui | [behind 17] | 80 | .agents/skills/journey-campaign/SKILL.md, .claude/apm-hooks.json, .claude/skills/journey-campaign/SKILL.md
295 | orphaned | fix/logpanel-virtualizer-timer-leak | origin/fix/logpanel-virtualizer-timer-leak | [behind 29] | 143 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
296 | orphaned | fix/qmc-window-state-isolation | origin/main | [behind 62] | 333 | .agents/skills/speckit-analyze/SKILL.md, .agents/skills/speckit-checklist/SKILL.md, .agents/skills/speckit-clarify/SKILL.md
297 | orphaned | fix/races-settings-setup | origin/fix/races-settings-setup | (none) | 0 | (none)
298 | orphaned | fix/reclassify-v2-callers | origin/fix/reclassify-v2-callers | [ahead 2, behind 18] | 125 | .claude/agents/coder.md, .claude/agents/journey-validator.md, .claude/agents/parallel-coder.md
299 | orphaned | fix/restore-defaults-catalogue | origin/fix/restore-defaults-catalogue | [behind 21] | 83 | .design-sync/conventions.md, Cargo.lock, apps/desktop/messages/en.json
300 | orphaned | fix/run-completed-artifacts | origin/fix/run-completed-artifacts | (none) | 0 | (none)
301 | orphaned | fix/rust-ci-js-deps | origin/fix/rust-ci-js-deps | (none) | 0 | (none)
302 | orphaned | fix/scan-classification-failure-visible | origin/fix/scan-classification-failure-visible | [behind 26] | 100 | .design-sync/conventions.md, .github/workflows/e2e.yml, Cargo.lock
303 | orphaned | fix/settings-test-flakes | origin/fix/settings-test-flakes | [gone] | n/a | [upstream missing]
304 | orphaned | fix/status-count-dedup | origin/fix/status-count-dedup | [gone] | n/a | [upstream missing]
305 | orphaned | fix/tlw1-onboarding-continue-layout | origin/fix/tlw1-onboarding-continue-layout | (none) | 0 | (none)
306 | orphaned | fix/tlw10-toggle-focus | origin/fix/tlw10-toggle-focus | (none) | 0 | (none)
307 | orphaned | fix/tlw11-13-control-contrast-motion | origin/fix/tlw11-13-control-contrast-motion | (none) | 0 | (none)
308 | orphaned | fix/tlw2-onboarding-locale | origin/main | [behind 11] | 78 | .agents/skills/speckit-analyze/SKILL.md, .agents/skills/speckit-checklist/SKILL.md, .agents/skills/speckit-clarify/SKILL.md
309 | orphaned | fix/tlw2-onboarding-locale-1048 | origin/fix/tlw2-onboarding-locale-1048 | (none) | 0 | (none)
310 | orphaned | fix/tlw2-parent-locale-integration |  | (none) | n/a | (no upstream)
311 | orphaned | fix/tlw5-locale-settings-read | origin/fix/tlw5-locale-settings-read | (none) | 0 | (none)
312 | orphaned | fix/tlw6-source-folder-primitives | origin/fix/tlw6-source-folder-primitives | (none) | 0 | (none)
313 | orphaned | fix/tlw7-document-lang | origin/fix/tlw7-document-lang | (none) | 0 | (none)
314 | orphaned | fix/tlw8-wizard-navigation-a11y | origin/fix/tlw8-wizard-navigation-a11y | (none) | 0 | (none)
315 | orphaned | fix/tlw9-12-status-scan-i18n | origin/fix/tlw9-12-status-scan-i18n | (none) | 0 | (none)
316 | attached | fix/token-adoption-css-colours | origin/fix/token-adoption-css-colours | (none) | 0 | (none)
317 | orphaned | fix/tooltip-unstyled-and-click | origin/fix/tooltip-unstyled-and-click | (none) | 0 | (none)
318 | orphaned | fix/windows-targets-pinned-scroll | origin/fix/windows-targets-pinned-scroll | (none) | 0 | (none)
319 | orphaned | fix/xhj0-outofline-test-modules | origin/fix/xhj0-outofline-test-modules | [behind 36] | 145 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
320 | orphaned | fix/xz3r-windows-dock | origin/fix/xz3r-windows-dock | (none) | 0 | (none)
321 | orphaned | fix/xz3r-windows-dock-followup | origin/fix/xz3r-windows-dock-followup | [behind 1] | 1 | crates/e2e-tests/tests/common/mod.rs
322 | orphaned | fix/xz3r-windows-dock-followup2 |  | (none) | n/a | (no upstream)
323 | attached | fix/zfuy-watcher-recreate | origin/fix/zfuy-watcher-recreate | (none) | 0 | (none)
324 | orphaned | integrate/1048-main-reconcile-20260722 |  | (none) | n/a | (no upstream)
325 | attached | investigate/711-instance-b | origin/main | [ahead 893, behind 77] | 997 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .agents/skills/speckit-analyze/SKILL.md
326 | orphaned | journey/init-scaffold-2026-07-14 | origin/journey/init-scaffold-2026-07-14 | (none) | 0 | (none)
327 | orphaned | journeys/2026-07-20-deltas | origin/journeys/2026-07-20-deltas | (none) | 0 | (none)
328 | orphaned | lane/3w31-plan-repair | origin/lane/3w31-plan-repair | [behind 8] | 18 | apps/desktop/src/features/inbox/InboxPage.tsx, apps/desktop/src/features/inbox/__tests__/InboxPage.statsFollowFilter.test.tsx, apps/desktop/src/features/inbox/inboxDetailHelpers.ts
329 | orphaned | lane/sm7-token-refs | origin/lane/sm7-token-refs | [behind 7] | 16 | apps/desktop/src/features/inbox/InboxPage.tsx, apps/desktop/src/features/inbox/__tests__/InboxPage.statsFollowFilter.test.tsx, apps/desktop/src/features/inbox/inboxDetailHelpers.ts
330 | orphaned | local-037 | origin/037-ui-journeys-sessions | (none) | 0 | (none)
331 | attached | main | origin/main | (none) | 0 | (none)
332 | orphaned | mock/1068-inbox-layouts | origin/main | [ahead 907, behind 77] | 970 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .agents/skills/speckit-analyze/SKILL.md
333 | orphaned | orc/b4f-desktop-wizard-fit | origin/orc/b4f-desktop-wizard-fit | (none) | 0 | (none)
334 | orphaned | orc/branch-recovery-control-20260721 | origin/main | [behind 11] | 78 | .agents/skills/speckit-analyze/SKILL.md, .agents/skills/speckit-checklist/SKILL.md, .agents/skills/speckit-clarify/SKILL.md
335 | orphaned | orc/ic9h.5-metadata-evidence | origin/orc/ic9h.5-metadata-evidence | (none) | 0 | (none)
336 | orphaned | orc/mcp-allowlist | origin/orc/mcp-allowlist | (none) | 0 | (none)
337 | orphaned | orc/tlw15-b5-validation | origin/orc/tlw15-b5-validation | (none) | 0 | (none)
338 | orphaned | orch/adopt-metadata-headers | origin/orch/adopt-metadata-headers | (none) | 0 | (none)
339 | orphaned | orch/adopt-target-match | origin/orch/adopt-target-match | (none) | 0 | (none)
340 | orphaned | pr-1048 |  | (none) | n/a | (no upstream)
341 | orphaned | pr-1279 |  | (none) | n/a | (no upstream)
342 | orphaned | pr-1299 |  | (none) | n/a | (no upstream)
343 | orphaned | pr-1300 |  | (none) | n/a | (no upstream)
344 | orphaned | pr-1306 |  | (none) | n/a | (no upstream)
345 | orphaned | pr-1335 |  | (none) | n/a | (no upstream)
346 | orphaned | pr-1354 |  | (none) | n/a | (no upstream)
347 | orphaned | pr-1364 |  | (none) | n/a | (no upstream)
348 | orphaned | pr1048-integrate | origin/feat/056-onboarding-redesign | [behind 53] | 173 | .agents/skills/speckit-analyze/SKILL.md, .agents/skills/speckit-checklist/SKILL.md, .agents/skills/speckit-clarify/SKILL.md
349 | orphaned | probe/1202-list-visibility | origin/main | [ahead 971, behind 77] | 669 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .agents/skills/speckit-analyze/SKILL.md
350 | orphaned | rebase/1126 | origin/fix/1114-needs-review-banner | [ahead 1, behind 7] | 66 | Cargo.lock, apps/desktop/playwright.config.ts, apps/desktop/scripts/gen-token-types.mjs
351 | orphaned | rebase/1160 | origin/coder-g-refactor-p2p3 | [gone] | n/a | [upstream missing]
352 | orphaned | rebase/1171 | origin/coder-g-refactor-p1 | [ahead 2, behind 8] | 63 | Cargo.lock, apps/desktop/playwright.config.ts, apps/desktop/scripts/gen-token-types.mjs
353 | orphaned | reconcile/tlw-parent-current-main | origin/feat/056-onboarding-redesign | [behind 17] | 82 | Cargo.lock, apps/desktop/biome.json, apps/desktop/messages/en-GB.json
354 | orphaned | recovery/local-checkout-20260722 | origin/recovery/local-checkout-20260722 | (none) | 0 | (none)
355 | orphaned | recovery/local-main-pre-sync-20260722 | origin/recovery/local-main-pre-sync-20260722 | (none) | 0 | (none)
356 | orphaned | recovery/shared-checkout-20260721 | origin/recovery/shared-checkout-20260721 | (none) | 0 | (none)
357 | orphaned | refactor/615-630-tanstack-setupwizard | origin/refactor/615-630-tanstack-setupwizard | (none) | 0 | (none)
358 | orphaned | refactor/968-split-inbox | origin/refactor/968-split-inbox | (none) | 0 | (none)
359 | orphaned | refactor/998-split-project-detail | origin/refactor/998-split-project-detail | (none) | 0 | (none)
360 | orphaned | release-pipeline-updater | origin/release-pipeline-updater | (none) | 0 | (none)
361 | orphaned | repair/1048-migrations-20260721 | origin/feat/056-onboarding-redesign | [behind 55] | 179 | .agents/skills/speckit-analyze/SKILL.md, .agents/skills/speckit-checklist/SKILL.md, .agents/skills/speckit-clarify/SKILL.md
362 | orphaned | repair/pr1422-main | origin/pr/1422 | [gone] | n/a | [upstream missing]
363 | attached | resolve/1299-vs-main | origin/main | [ahead 1017, behind 77] | 502 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .agents/skills/speckit-analyze/SKILL.md
364 | orphaned | review-orchestrate-6329c8c |  | (none) | n/a | (no upstream)
365 | orphaned | run-pre1-db-baseline-20260722-b3 | origin/run-pre1-db-baseline-20260722-b3 | (none) | 0 | (none)
366 | orphaned | run-pre1-db-baseline-20260722-b4 | origin/run-pre1-db-baseline-20260722-b4 | (none) | 0 | (none)
367 | orphaned | salvage/605-inbox-plan-pending-pill | origin/salvage/605-inbox-plan-pending-pill | (none) | 0 | (none)
368 | orphaned | salvage/643-inbox-metadata-gate | origin/salvage/643-inbox-metadata-gate | (none) | 0 | (none)
369 | orphaned | salvage/711-attempt-1 | origin/salvage/711-attempt-1 | (none) | 0 | (none)
370 | orphaned | salvage/724-reclassify-sentinel-clear | origin/salvage/724-reclassify-sentinel-clear | (none) | 0 | (none)
371 | orphaned | salvage/744-plan-apply-resume-polling | origin/salvage/744-plan-apply-resume-polling | (none) | 0 | (none)
372 | orphaned | salvage/767-plan-overlay-visibility | origin/salvage/767-plan-overlay-visibility | (none) | 0 | (none)
373 | orphaned | salvage/769-inbox-approve-before-apply | origin/salvage/769-inbox-approve-before-apply | (none) | 0 | (none)
374 | orphaned | salvage/886-calibration-archive-backend | origin/salvage/886-calibration-archive-backend | (none) | 0 | (none)
375 | orphaned | salvage/g-calibration-postmerge-dirty | origin/salvage/g-calibration-postmerge-dirty | (none) | 0 | (none)
376 | orphaned | salvage/g-sessions-postmerge-dirty | origin/salvage/g-sessions-postmerge-dirty | (none) | 0 | (none)
377 | orphaned | salvage/g-targets-catalog-postmerge-dirty | origin/salvage/g-targets-catalog-postmerge-dirty | (none) | 0 | (none)
378 | orphaned | salvage/journeys-migration-jc0714 | origin/salvage/journeys-migration-jc0714 | (none) | 0 | (none)
379 | orphaned | spec/057-inbox-drop-parent-items | origin/spec/057-inbox-drop-parent-items | (none) | 0 | (none)
380 | orphaned | spec/058-docs | origin/spec/058-docs | (none) | 0 | (none)
381 | orphaned | spec/058-inbox-drop-parent-items | origin/spec/058-inbox-drop-parent-items | (none) | 0 | (none)
382 | orphaned | spec/058-owner-answers | origin/spec/058-owner-answers | (none) | 0 | (none)
383 | orphaned | spec/058-t013-inboxlist | origin/spec/058-t013-inboxlist | (none) | 0 | (none)
384 | orphaned | spec/058-targetrec | origin/spec/058-targetrec | (none) | 0 | (none)
385 | orphaned | spec/058-us4 | origin/spec/058-us4 | (none) | 0 | (none)
386 | orphaned | spec/062-session-heterogeneity | origin/main | [behind 22] | 98 | .agents/skills/speckit-analyze/SKILL.md, .agents/skills/speckit-checklist/SKILL.md, .agents/skills/speckit-clarify/SKILL.md
387 | orphaned | spec/062-session-heterogeneity-artifacts | origin/spec/062-session-heterogeneity-artifacts | [behind 1] | 2 | specs/062-session-heterogeneity/checklists/architecture-security-scale.md, specs/062-session-heterogeneity/data-model.md
388 | orphaned | spec/adaptive-detail-dock | origin/spec/adaptive-detail-dock | (none) | 0 | (none)
389 | orphaned | spec/reclassify-split | origin/spec/reclassify-split | (none) | 0 | (none)
390 | orphaned | split/editprojectpane | origin/split/editprojectpane | [behind 21] | 83 | .design-sync/conventions.md, Cargo.lock, apps/desktop/messages/en.json
391 | orphaned | split/grouping | origin/split/grouping | (none) | 0 | (none)
392 | orphaned | split/planpanel | origin/split/planpanel | (none) | 0 | (none)
393 | orphaned | test/1220-plan-review-e2e-coverage | origin/test/1220-plan-review-e2e-coverage | (none) | 0 | (none)
394 | orphaned | test/1223-cleanup-protected-gate | origin/test/1223-cleanup-protected-gate | (none) | 0 | (none)
395 | orphaned | test/1257-t023-reload | origin/test/1257-t023-reload | (none) | 0 | (none)
396 | orphaned | test/1257-t026-pinned-columns-e2e | origin/test/1257-t026-pinned-columns-e2e | (none) | 0 | (none)
397 | orphaned | test/1419-raw-alm-preferences | origin/main | [behind 11] | 78 | .agents/skills/speckit-analyze/SKILL.md, .agents/skills/speckit-checklist/SKILL.md, .agents/skills/speckit-clarify/SKILL.md
398 | orphaned | test/tlw3-first-run-os-theme | origin/test/tlw3-first-run-os-theme | (none) | 0 | (none)
399 | orphaned | test/xz3r-1422-20260721 | origin/test/xz3r-1422-20260721 | (none) | 0 | (none)
400 | orphaned | tmp-1126 | origin/fix/1114-needs-review-banner | (none) | 0 | (none)
401 | orphaned | tmp-914-merge |  | (none) | n/a | (no upstream)
402 | orphaned | wave2-037-ui-journeys-calibration | origin/037-ui-journeys-calibration | (none) | 0 | (none)
403 | orphaned | wave2-fix-targetsearch-keepmounted | origin/fix-targetsearch-keepmounted | (none) | 0 | (none)
404 | orphaned | win-qa |  | (none) | n/a | (no upstream)
405 | orphaned | wip-457-debug | origin/037-ui-journeys-inbox | (none) | 0 | (none)
406 | orphaned | work-fix-main-e2e-interplay | origin/fix-main-e2e-interplay | (none) | 0 | (none)
407 | orphaned | worktree-worktree-105422 |  | (none) | n/a | (no upstream)
408 | orphaned | worktree-worktree-1074187 |  | (none) | n/a | (no upstream)
409 | orphaned | worktree-worktree-1075078 |  | (none) | n/a | (no upstream)
410 | orphaned | worktree-worktree-1077554 |  | (none) | n/a | (no upstream)
411 | orphaned | worktree-worktree-1120595 |  | (none) | n/a | (no upstream)
412 | orphaned | worktree-worktree-1123520 |  | (none) | n/a | (no upstream)
413 | orphaned | worktree-worktree-1141429 |  | (none) | n/a | (no upstream)
414 | orphaned | worktree-worktree-1357001 |  | (none) | n/a | (no upstream)
415 | orphaned | worktree-worktree-1392441 |  | (none) | n/a | (no upstream)
416 | orphaned | worktree-worktree-1459779 |  | (none) | n/a | (no upstream)
417 | orphaned | worktree-worktree-148634 |  | (none) | n/a | (no upstream)
418 | orphaned | worktree-worktree-149459 |  | (none) | n/a | (no upstream)
419 | orphaned | worktree-worktree-1694423 |  | (none) | n/a | (no upstream)
420 | orphaned | worktree-worktree-1727475 |  | (none) | n/a | (no upstream)
421 | orphaned | worktree-worktree-1778823 |  | (none) | n/a | (no upstream)
422 | orphaned | worktree-worktree-180097 |  | (none) | n/a | (no upstream)
423 | orphaned | worktree-worktree-1836358 |  | (none) | n/a | (no upstream)
424 | orphaned | worktree-worktree-1871840 |  | (none) | n/a | (no upstream)
425 | orphaned | worktree-worktree-1880376 |  | (none) | n/a | (no upstream)
426 | orphaned | worktree-worktree-2007781 |  | (none) | n/a | (no upstream)
427 | orphaned | worktree-worktree-2008378 |  | (none) | n/a | (no upstream)
428 | orphaned | worktree-worktree-2009202 |  | (none) | n/a | (no upstream)
429 | orphaned | worktree-worktree-2107062 | origin/worktree-worktree-2107062 | (none) | 0 | (none)
430 | orphaned | worktree-worktree-2113499 | origin/worktree-worktree-2113499 | (none) | 0 | (none)
431 | orphaned | worktree-worktree-2183034 |  | (none) | n/a | (no upstream)
432 | orphaned | worktree-worktree-2185385 |  | (none) | n/a | (no upstream)
433 | orphaned | worktree-worktree-2189680 |  | (none) | n/a | (no upstream)
434 | orphaned | worktree-worktree-2200576 |  | (none) | n/a | (no upstream)
435 | orphaned | worktree-worktree-2310056 |  | (none) | n/a | (no upstream)
436 | orphaned | worktree-worktree-2314421 |  | (none) | n/a | (no upstream)
437 | orphaned | worktree-worktree-2319080 |  | (none) | n/a | (no upstream)
438 | orphaned | worktree-worktree-2324046 |  | (none) | n/a | (no upstream)
439 | orphaned | worktree-worktree-2685479 |  | (none) | n/a | (no upstream)
440 | orphaned | worktree-worktree-2686092 |  | (none) | n/a | (no upstream)
441 | orphaned | worktree-worktree-2686937 |  | (none) | n/a | (no upstream)
442 | orphaned | worktree-worktree-2687096 |  | (none) | n/a | (no upstream)
443 | orphaned | worktree-worktree-2690362 |  | (none) | n/a | (no upstream)
444 | orphaned | worktree-worktree-2728252 |  | (none) | n/a | (no upstream)
445 | orphaned | worktree-worktree-2734180 |  | (none) | n/a | (no upstream)
