# Local branches/worktrees compact index
Generated: 2026-07-22T23:08:54+04:00
Repo: /home/sjors/dev/astro-plan
Branches total: 515 | Attached: 12 | Orphaned: 503
Detached worktree snapshots: 3
Worktrees total: 15 | Attached: 12 | Detached: 3

## 1) Branches
idx | state | branch | upstream | status | file_count | sample_changed_paths
60 | orphaned | akon/project-lifecycle-auto-transitions | origin/akon/project-lifecycle-auto-transitions | (none) | 0 | (none)
61 | orphaned | audit/apm-drift-validator-20260721 |  | (none) | n/a | (no upstream)
62 | orphaned | audit/apm-drift-validator-20260721b |  | (none) | n/a | (no upstream)
63 | orphaned | audit/apm-recovery-20260721 | origin/main | [behind 11] | 78 | .agents/skills/speckit-analyze/SKILL.md, .agents/skills/speckit-checklist/SKILL.md, .agents/skills/speckit-clarify/SKILL.md
64 | orphaned | backup-before-rebase-86636df7 |  | (none) | n/a | (no upstream)
65 | orphaned | backup-css-consolidation |  | (none) | n/a | (no upstream)
66 | orphaned | chore/712-retire-session-snapshot | origin/chore/712-retire-session-snapshot | [behind 34] | 158 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
67 | orphaned | chore/apm-beads-0-4-1 | origin/chore/apm-beads-0-4-1 | [behind 26] | 100 | .design-sync/conventions.md, .github/workflows/e2e.yml, Cargo.lock
68 | orphaned | chore/apm-install-beads | origin/chore/apm-install-beads | [ahead 26, behind 1] | 111 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
69 | orphaned | chore/apm-journey-campaign-issue-driven | origin/chore/apm-journey-campaign-issue-driven | (none) | 0 | (none)
70 | orphaned | chore/apm-pull-speckit-hook-fix | origin/chore/apm-pull-speckit-hook-fix | (none) | 0 | (none)
71 | orphaned | chore/bd-close-guard | origin/chore/bd-close-guard | [behind 15] | 68 | .design-sync/conventions.md, Cargo.lock, apps/desktop/messages/en.json
72 | orphaned | chore/beads-init | origin/chore/beads-init | [behind 10] | 57 | .design-sync/generate-palette-cards.mjs, .github/workflows/ci.yml, .github/workflows/e2e.yml
73 | orphaned | chore/biome-formatter | origin/chore/biome-formatter | (none) | 0 | (none)
74 | attached | chore/biome-strict | origin/chore/biome-strict | (none) | 0 | (none)
75 | orphaned | chore/ci-granular | origin/chore/ci-granular | (none) | 0 | (none)
76 | orphaned | chore/dead-caller-guard | origin/chore/dead-caller-guard | (none) | 0 | (none)
77 | orphaned | chore/dead-code-triage | origin/chore/dead-code-triage | (none) | 0 | (none)
78 | orphaned | chore/design-sync-platevault | origin/chore/design-sync-platevault | (none) | 0 | (none)
79 | orphaned | chore/emptystate-dead-prop | origin/main | [behind 62] | 333 | .agents/skills/speckit-analyze/SKILL.md, .agents/skills/speckit-checklist/SKILL.md, .agents/skills/speckit-clarify/SKILL.md
80 | orphaned | chore/hygiene-tooling | origin/chore/hygiene-tooling | (none) | 0 | (none)
81 | orphaned | chore/journey-verification-formulas-20260721 | origin/chore/journey-verification-formulas-20260721 | (none) | 0 | (none)
82 | orphaned | chore/lint-tests-e2e | origin/chore/lint-tests-e2e | (none) | 0 | (none)
83 | orphaned | chore/org-migration-platevault | origin/chore/org-migration-platevault | [gone] | n/a | [upstream missing]
84 | orphaned | chore/remove-project-lsp-serena | origin/chore/remove-project-lsp-serena | (none) | 0 | (none)
85 | orphaned | chore/resume-0720 | origin/chore/resume-0720 | [behind 18] | 74 | .config/nextest.toml, .design-sync/generate-palette-cards.mjs, .github/workflows/ci.yml
86 | orphaned | chore/safe-dep-bumps | origin/chore/safe-dep-bumps | (none) | 0 | (none)
87 | orphaned | chore/simbad-version-range | origin/chore/simbad-version-range | [behind 3] | 8 | apps/desktop/src/features/inbox/InboxPage.tsx, apps/desktop/src/features/inbox/__tests__/InboxPage.statsFollowFilter.test.tsx, crates/app/inbox/src/classify.rs
88 | orphaned | ci-release-please | origin/ci-release-please | (none) | 0 | (none)
89 | orphaned | ci/1203-concurrency-doc | origin/ci/1203-concurrency-doc | (none) | 0 | (none)
90 | orphaned | ci/detect-changes-names | origin/ci/detect-changes-names | [ahead 1] | 127 | .agents/skills/catchup/SKILL.md, .agents/skills/catchup/references/selection.md, .agents/skills/handover/SKILL.md
91 | orphaned | ci/e2e-ubuntu-4shards | origin/ci/e2e-ubuntu-4shards | (none) | 0 | (none)
92 | orphaned | ci/e2e-windows-shard-rebalance | origin/ci/e2e-windows-shard-rebalance | (none) | 0 | (none)
93 | orphaned | ci/rustfmt-included-sources | origin/ci/rustfmt-included-sources | [behind 4] | 9 | apps/desktop/src/features/inbox/InboxPage.tsx, apps/desktop/src/features/inbox/__tests__/InboxPage.statsFollowFilter.test.tsx, apps/desktop/src/features/inbox/inboxDetailHelpers.ts
94 | orphaned | ci/windows-oss-signing | origin/ci/windows-oss-signing | (none) | 0 | (none)
95 | orphaned | coder-g-archive | origin/coder-g-archive | [behind 9] | 45 | .agents/skills/orchestrate/SKILL.md, .agents/skills/write-agentic/references/template-steering.md, .agents/skills/write-agentic/scripts/lint.py
96 | orphaned | coder-g-backend-fixes | origin/coder-g-backend-fixes | (none) | 0 | (none)
97 | orphaned | coder-g-calibration | origin/coder-g-calibration | (none) | 0 | (none)
98 | orphaned | coder-g-calibration-archive | origin/coder-g-calibration-archive | (none) | 0 | (none)
99 | orphaned | coder-g-chrome-nav | origin/coder-g-chrome-nav | (none) | 0 | (none)
100 | orphaned | coder-g-cleanup | origin/coder-g-cleanup | (none) | 0 | (none)
101 | orphaned | coder-g-cleanup-apply | origin/coder-g-cleanup-apply | (none) | 0 | (none)
102 | orphaned | coder-g-db-contention | origin/coder-g-db-contention | (none) | 0 | (none)
103 | orphaned | coder-g-design-system-a | origin/coder-g-design-system-a | (none) | 0 | (none)
104 | orphaned | coder-g-design-system-b | origin/coder-g-design-system-b | (none) | 0 | (none)
105 | orphaned | coder-g-homebrew-tap | origin/coder-g-homebrew-tap | (none) | 0 | (none)
106 | orphaned | coder-g-hub-detail-dock | origin/coder-g-hub-detail-dock | (none) | 0 | (none)
107 | orphaned | coder-g-i18n-guard | origin/coder-g-i18n-guard | (none) | 0 | (none)
108 | orphaned | coder-g-inbox-711 | origin/coder-g-inbox-711 | (none) | 0 | (none)
109 | orphaned | coder-g-inbox-711b | origin/coder-g-inbox-711b | (none) | 0 | (none)
110 | orphaned | coder-g-inbox-ui | origin/coder-g-inbox-ui | (none) | 0 | (none)
111 | orphaned | coder-g-maintenance-sweep | origin/coder-g-maintenance-sweep | (none) | 0 | (none)
112 | orphaned | coder-g-metadata-tools | origin/coder-g-metadata-tools | (none) | 0 | (none)
113 | orphaned | coder-g-projects-detail-v2 | origin/coder-g-projects-detail-v2 | (none) | 0 | (none)
114 | orphaned | coder-g-projects-wizard | origin/coder-g-projects-wizard | (none) | 0 | (none)
115 | orphaned | coder-g-projects-wizard-followup | origin/coder-g-projects-wizard-followup | (none) | 0 | (none)
116 | orphaned | coder-g-protection-settings | origin/coder-g-protection-settings | (none) | 0 | (none)
117 | orphaned | coder-g-refactor-p1 | origin/coder-g-refactor-p1 | (none) | 0 | (none)
118 | orphaned | coder-g-sessions | origin/coder-g-sessions | (none) | 0 | (none)
119 | orphaned | coder-g-sessions-backend | origin/coder-g-sessions-backend | (none) | 0 | (none)
120 | orphaned | coder-g-settings-equipment | origin/coder-g-settings-equipment | (none) | 0 | (none)
121 | orphaned | coder-g-settings-general-a | origin/coder-g-settings-general-a | (none) | 0 | (none)
122 | orphaned | coder-g-settings-general-b | origin/coder-g-settings-general-b | (none) | 0 | (none)
123 | orphaned | coder-g-setup-sources | origin/coder-g-setup-sources | (none) | 0 | (none)
124 | orphaned | coder-g-tanstack | origin/coder-g-tanstack | (none) | 0 | (none)
125 | orphaned | coder-g-targets-backend | origin/coder-g-targets-backend | (none) | 0 | (none)
126 | orphaned | coder-g-targets-catalog | origin/coder-g-targets-catalog | (none) | 0 | (none)
127 | orphaned | coder-g-targets-catalog-v2 | origin/coder-g-targets-catalog-v2 | (none) | 0 | (none)
128 | orphaned | coder-g-targets-planner | origin/coder-g-targets-planner | (none) | 0 | (none)
129 | orphaned | coder-g-targets-v3 | origin/coder-g-targets-v3 | (none) | 0 | (none)
130 | orphaned | coder-g-unassign-ui | origin/coder-g-unassign-ui | (none) | 0 | (none)
131 | orphaned | coder/0wmx-lost-merge-gate | origin/coder/0wmx-lost-merge-gate | (none) | 0 | (none)
132 | orphaned | coder/b1-pill-contract | origin/coder/b1-pill-contract | (none) | 0 | (none)
133 | attached | coder/b2-db-tests | origin/coder/b2-db-tests | (none) | 0 | (none)
134 | orphaned | coder/b2-wizard-eight-step | origin/coder/b2-wizard-eight-step | (none) | 0 | (none)
135 | orphaned | coder/b3-theme-coverage | origin/coder/b3-theme-coverage | (none) | 0 | (none)
136 | orphaned | coder/b4-theme-e2e | origin/coder/b4-theme-e2e | (none) | 0 | (none)
137 | orphaned | coder/datq-residue | origin/coder/datq-residue | (none) | 0 | (none)
138 | orphaned | coder/master-detect-residue | origin/coder/master-detect-residue | (none) | 0 | (none)
139 | orphaned | coder/plan-failure-code-residue | origin/coder/plan-failure-code-residue | (none) | 0 | (none)
140 | orphaned | coder/plan-failure-code-tests | origin/coder/plan-failure-code-tests | (none) | 0 | (none)
141 | attached | coder/yv3u-i18n-drift-gate | origin/coder/yv3u-i18n-drift-gate | (none) | 0 | (none)
142 | orphaned | deps/skymath-ecosystem-releases | origin/deps/skymath-ecosystem-releases | (none) | 0 | (none)
143 | orphaned | design-system-fixes | origin/design-system-fixes | (none) | 0 | (none)
144 | orphaned | design-system-refresh | origin/design-system-refresh | (none) | 0 | (none)
145 | orphaned | docs/037-plan-review-coverage | origin/docs/037-plan-review-coverage | (none) | 0 | (none)
146 | orphaned | docs/058-q10-classify-trigger | origin/docs/058-q10-classify-trigger | (none) | 0 | (none)
147 | orphaned | docs/1008-windows-validation-scenario | origin/docs/1008-windows-validation-scenario | (none) | 0 | (none)
148 | orphaned | docs/1155-tooltip-split | origin/docs/1155-tooltip-split | [behind 32] | 153 | .agents/skills/beads/SKILL.md, .agents/skills/beads/agents/openai.yaml, .beads/.gitignore
149 | orphaned | docs/748-retire-diff-view | origin/docs/748-retire-diff-view | [behind 9] | 56 | .github/workflows/ci.yml, .github/workflows/e2e.yml, apps/desktop/messages/en.json
150 | orphaned | docs/design-fix-campaign-log | origin/docs/design-fix-campaign-log | (none) | 0 | (none)
151 | orphaned | docs/grilling-decisions-2026-07-13 | origin/docs/grilling-decisions-2026-07-13 | (none) | 0 | (none)
152 | orphaned | docs/jc0714-wave2-journey-deltas-2 | origin/docs/jc0714-wave2-journey-deltas-2 | (none) | 0 | (none)
153 | orphaned | docs/planner-obs-iterate-apply | origin/docs/planner-obs-iterate-apply | (none) | 0 | (none)
154 | orphaned | docs/planner-obs-iterate-define | origin/docs/planner-obs-iterate-define | (none) | 0 | (none)
155 | orphaned | docs/regen-journey-index | origin/docs/regen-journey-index | (none) | 0 | (none)
